Quarter,Revenue y1,Revenue y2,Revenue y3,Revenue y4
1,58766.7074,10200.2883,13055.451,6065.85
1,12180.138,13534.653,11334.1362,14742.6528
1,69900.0249,9717.0534,8781.0981,6456.2091
2,12776.3313,12195.3462,11864.9256,18577.2636
2,6547.3362,10975.0125,12819.6666,15956.6301
2,9025.1598,12733.413,9991.7772,13284.987
3,9715.143,19280.7069,22930.2591,14657.604
3,5605.9074,9548.9982,13142.5224,28819.5357
3,6151.0269,11468.484,17015.3148,21038.628
4,5418.038,7205.0091,29242.8372,6187.992
4,3877.1391,15363.7194,8514.1323,3964.098
4,11731.8741,18535.4166,13537.4742,5868.8901
